text,label
doctor appointment reminder for next week,safe
doctor appointment reminder for next week,safe
please review the attached project update,safe
doctor appointment reminder for friday,safe
doctor appointment reminder for next week,safe
send wire transfer today to release your package,scam
thanks for your payment your receipt is attached,safe
doctor appointment reminder for friday,safe
limited offer transfer gift card now for guaranteed return,scam
send wire transfer today to release your package,scam
hello team our meeting is at next week,safe
your order is out for delivery and arrives friday,safe
thanks for your payment your receipt is attached,safe
doctor appointment reminder for next week,safe
doctor appointment reminder for friday,safe
your order is out for delivery and arrives tomorrow,safe
thanks for your payment your receipt is attached,safe
limited offer transfer wire transfer now for guaranteed return,scam
job approved pay gift card to start work,scam
send crypto payment today to release your package,scam
your order is out for delivery and arrives monday morning,safe
your order is out for delivery and arrives friday,safe
confirm your password immediately to avoid closure,scam
limited offer transfer gift card now for guaranteed return,scam
job approved pay wire transfer to start work,scam
send crypto payment today to release your package,scam
thanks for your payment your receipt is attached,safe
doctor appointment reminder for tomorrow,safe
hello team our meeting is at tomorrow,safe
thanks for your payment your receipt is attached,safe
limited offer transfer gift card now for guaranteed return,scam
doctor appointment reminder for next week,safe
confirm your password immediately to avoid closure,scam
limited offer transfer crypto payment now for guaranteed return,scam
your order is out for delivery and arrives friday,safe
doctor appointment reminder for friday,safe
urgent your bank account will be suspended click now,scam
send wire transfer today to release your package,scam
doctor appointment reminder for friday,safe
your order is out for delivery and arrives tomorrow,safe
confirm your password immediately to avoid closure,scam
doctor appointment reminder for monday morning,safe
job approved pay crypto payment to start work,scam
doctor appointment reminder for monday morning,safe
job approved pay wire transfer to start work,scam
job approved pay gift card to start work,scam
limited offer transfer wire transfer now for guaranteed return,scam
confirm your otp immediately to avoid closure,scam
limited offer transfer gift card now for guaranteed return,scam
please review the attached project update,safe
doctor appointment reminder for friday,safe
send gift card today to release your package,scam
confirm your pin immediately to avoid closure,scam
hello team our meeting is at next week,safe
limited offer transfer wire transfer now for guaranteed return,scam
doctor appointment reminder for friday,safe
your order is out for delivery and arrives next week,safe
limited offer transfer gift card now for guaranteed return,scam
your order is out for delivery and arrives tomorrow,safe
job approved pay gift card to start work,scam
limited offer transfer gift card now for guaranteed return,scam
hello team our meeting is at next week,safe
send wire transfer today to release your package,scam
limited offer transfer wire transfer now for guaranteed return,scam
hello team our meeting is at friday,safe
doctor appointment reminder for next week,safe
thanks for your payment your receipt is attached,safe
your order is out for delivery and arrives monday morning,safe
urgent your bank account will be suspended click now,scam
send crypto payment today to release your package,scam
doctor appointment reminder for friday,safe
job approved pay wire transfer to start work,scam
your order is out for delivery and arrives monday morning,safe
confirm your pin immediately to avoid closure,scam
send gift card today to release your package,scam
doctor appointment reminder for friday,safe
limited offer transfer wire transfer now for guaranteed return,scam
confirm your pin immediately to avoid closure,scam
limited offer transfer wire transfer now for guaranteed return,scam
doctor appointment reminder for monday morning,safe
doctor appointment reminder for friday,safe
please review the attached project update,safe
send crypto payment today to release your package,scam
urgent your subscription will be suspended click now,scam
doctor appointment reminder for friday,safe
send wire transfer today to release your package,scam
doctor appointment reminder for next week,safe
please review the attached project update,safe
job approved pay crypto payment to start work,scam
urgent your bank account will be suspended click now,scam
thanks for your payment your receipt is attached,safe
job approved pay gift card to start work,scam
limited offer transfer crypto payment now for guaranteed return,scam
send crypto payment today to release your package,scam
send crypto payment today to release your package,scam
job approved pay gift card to start work,scam
your order is out for delivery and arrives monday morning,safe
job approved pay gift card to start work,scam
limited offer transfer wire transfer now for guaranteed return,scam
please review the attached project update,safe
